StoreNumber,Store,Street,City,State,Zip,Latitude,Longitude
4168645,Dominos,57 Dudley St,Haverhill,MA,1830,42.7827019,-71.0824377
4168618,Dominos,173 State St,Newburyport,MA,1950,42.7982871,-70.8749258
4168609,Dominos,5-15 Main ST,Plymouth,MA,2360,41.8804637,-70.645473
4168586,Dominos,R-17 Tremont,Taunton,MA,2780,41.9033893,-71.1008691
4168841,Dominos,2804 Rodd St,Midland,MI,48640,43.6155825,-84.2472116
4169006,Dominos,2350 7th Ave,Anoka,MN,55303,45.304023,-93.4417499
4168915,Dominos,2600 Rice St,Saint Paul,MN,55113,45.0214845,-93.1652832
4168893,Dominos,783 Radio Dr,Woodbury,MN,55125,44.915423,-92.9475662
4169122,Dominos,48 Berry Rd.,Bonne Terre,MO,63628,37.9231069,-90.5554039
4169105,Dominos,305 E Karsch,Farmington,MO,63640,37.7808846,-90.4217895
4169094,Dominos,1271 MAIN ST,Imperial,MO,63052,38.409279,-90.452099
4169052,Dominos,940 Plaza Dr,Saint Clair,MO,63077,38.3475584,-90.9834027
4169575,Dominos,540 Park Ave,Freehold,NJ,7728,40.224382,-74.299051
4169559,Dominos,506 Route 70,LakeHurst,NJ,8733,40.014561,-74.3112574
4169551,Dominos,133 Route 33,Manalapan,NJ,7726,40.282353,-74.346565
4169527,Dominos,933 Main Ave,Passaic,NJ,7055,40.8686545,-74.1346939
4169831,Dominos,1683 Route 9,Clifton Park,NY,12065,42.8672518,-73.7728392
4169713,Dominos,1582 Route 9,Wappingers Falls,NY,12590,41.6148502,-73.8946996
4169416,Dominos,833 Perry Rd,Apex,NC,27502,35.732652,-78.8502856
4169398,Dominos,110 Banks Dr,Chapel Hill,NC,27514,35.921594,-79.130936
4169381,Dominos,10441 Hwy 70,Clayton,NC,27520,35.650711,-78.4563914
4169895,Dominos,1894 Hard Rd,Worthington,OH,43235,40.0931191,-83.017962
4170222,Dominos,241 E Gay St,West Chester,PA,19380,39.9606643,-75.6054882
4170414,Dominos,19 W Main Rd,Newport,RI,2840,41.5061317,-71.3011445
4170413,Dominos,5951 Post Rd,North Kingstown,RI,2852,41.633172,-71.469955
4170400,Dominos,1745 Main St,West Warwick,RI,2893,41.7039863,-71.5308907
4171079,Dominos,5847 Berkman,Austin,TX,78723,30.3081307,-97.681943
4170948,Dominos,511 Hwy 79 S,Henderson,TX,75654,32.1532156,-94.7993802
4170937,Dominos,1421 Wirt Rd,Houston,TX,77002,29.7604267,-95.3698028
4170861,Dominos,100 This Way,Lake Jackson,TX,77566,29.0338575,-95.4343859
4170705,Dominos,4301 S 31 St,Temple,TX,76502,31.0613449,-97.3725621
