446718,"['lat=61.150', 'lng=-149.87']"
638241,"['lat=40.80274', 'lng=-91.10204']"
355594,"['lat=41.783812', 'lng=-71.458434']"
283306,"['lat=30.620074', 'lng=-88.078602']"
92262,"['lat=39.049', 'lng=-84.574']"
273488,"['lat=30.538935', 'lng=-87.708360']"
7452,"['lat=42.74119', 'lng=-84.56372']"
630268,"['lat=31.0905', 'lng=-97.3615']"
177815,"['lat=29.63981', 'lng=-98.61714']"
66502,"['lat=41.161142', 'lng=-112.064454']"
338104,"['lat=40.244795', 'lng=-75.239593']"
110631,"['lat=42.337875', 'lng=-88.27470']"
110630,"['lat=38.285386', 'lng=-104.577527']"
174355,"['lat=30.00606', 'lng=-90.15950']"
86968,"['lat=42.62629', 'lng=-83.02535']"
374924,"['lat=34.448463', 'lng=-119.276141']"
366385,"['lat=34.275182', 'lng=-119.274336']"
838870,"['lat=32.85407', 'lng=-80.011108']"
170454,"['lat=41.065154', 'lng=-80.05768']"
680727,"['lat=44.655481', 'lng=-90.180557']"
336618,"['lat=47.743802', 'lng=-122.183188']"
723896,"['lat=39.87664', 'lng=-84.31193']"
22675,"['lat=39.64546', 'lng=-104.98763']"
653918,"['lat=32.809502', 'lng=-117.143635']"
315018,"['lat=30.47', 'lng=-91.16038']"
839658,"['lat=39.388830', 'lng=-81.20883']"
154716,"['lat=39.312981', 'lng=-84.541833']"
184442,"['lat=34.14378', 'lng=-118.699']"
77284,"['lat=45.54847', 'lng=-122.57892']"
449775,"['lat=41.161', 'lng=-80.093']"
266672,"['lat=42.91031', 'lng=-88.124648']"
354462,"['lat=33.96247', 'lng=-118.42132']"
187257,"['lat=29.85523', 'lng=-90.10585']"
192865,"['lat=32.895302', 'lng=-96.871594']"
214534,"['lat=35.36535', 'lng=-86.20452']"
241441,"['lat=33.568299', 'lng=-117.723278']"
424333,"['lat=39.11', 'lng=-95.066']"
666658,"['lat=41.20287', 'lng=-77.2700']"
653705,"['lat=29.510', 'lng=-98.3817']"
43460,"['lat=45.30551', 'lng=-93.79487']"
203533,"['lat=39.873395', 'lng=-75.389894']"
307592,"['lat=29.498801', 'lng=-95.131427']"
13617,"['lat=37.78914', 'lng=-89.32365']"
201428,"['lat=42.028117', 'lng=-88.062332']"
406030,"['lat=38.67753', 'lng=-89.98241']"
165617,"['lat=40.172770', 'lng=-80.252775']"
292253,"['lat=39.01324', 'lng=-74.93905']"
405212,"['lat=39.73532', 'lng=-104.94586']"
448608,"['lat=36.97364', 'lng=-122.02644']"
167610,"['lat=39.144403', 'lng=-77.410477']"
310140,"['lat=38.03107', 'lng=-87.57419']"
41825,"['lat=40.877054', 'lng=-72.528567']"
138725,"['lat=34.19482', 'lng=-77.936253']"
304481,"['lat=41.95420', 'lng=-87.66482']"
436930,"['lat=27.226', 'lng=-82.493']"
122979,"['lat=31.125457', 'lng=-93.267717']"
854236,"['lat=32.67872', 'lng=-97.464']"
227008,"['lat=41.010588', 'lng=-74.119680']"
391582,"['lat=32.414501', 'lng=-104.236918']"
215113,"['lat=32.66993', 'lng=-97.11384']"
124720,"['lat=34.186998', 'lng=-119.177564']"
143995,"['lat=41.239971', 'lng=-81.450058']"
613558,"['lat=39.44755', 'lng=-83.84818']"
74223,"['lat=45.50876', 'lng=-122.68222']"
330904,"['lat=38.574300', 'lng=-90.406527']"
118327,"['lat=37.59150', 'lng=-122.0357']"
235595,"['lat=39.979361', 'lng=-82.843740']"
665870,"['lat=45.04842', 'lng=-93.14723']"
668552,"['lat=39.27712', 'lng=-76.83130']"
113143,"['lat=33.851454', 'lng=-117.791791']"
21285,"['lat=39.66624', 'lng=-105.08129']"
300060,"['lat=39.956748', 'lng=-75.211347']"
657116,"['lat=35.97040', 'lng=-77.9531']"
398268,"['lat=30.48918', 'lng=-97.58483']"
57087,"['lat=27.21033', 'lng=-81.84514']"
99504,"['lat=30.37200', 'lng=-88.536582']"
352920,"['lat=31.932060', 'lng=-81.325005']"
44655,"['lat=46.87329', 'lng=-96.813609']"
54410,"['lat=37.43494', 'lng=-121.88502']"
237190,"['lat=41.749941', 'lng=-71.143230']"
621007,"['lat=33.817840', 'lng=-84.758484']"
380111,"['lat=31.32295', 'lng=-85.48240']"
564028,"['lat=36.85076', 'lng=-76.17888']"
107705,"['lat=34.14248', 'lng=-118.23251']"
564027,"['lat=36.7830', 'lng=-76.10324']"
564026,"['lat=36.819621', 'lng=-76.379897']"
63270,"['lat=40.80272', 'lng=-74.48194']"
376435,"['lat=30.31121', 'lng=-91.88474']"
49798,"['lat=33.98362', 'lng=-81.10013']"
8845,"['lat=41.78794', 'lng=-107.23785']"
285306,"['lat=35.867600', 'lng=-81.540637']"
655267,"['lat=39.33302', 'lng=-83.0140']"
334116,"['lat=41.865192', 'lng=-79.155077']"
678899,"['lat=28.58730', 'lng=-81.48583']"
856984,"['lat=38.84129', 'lng=-104.7015']"
426222,"['lat=39.774', 'lng=-93.552']"
856982,"['lat=39.7403', 'lng=-105.0767']"
856983,"['lat=39.07857', 'lng=-108.49655']"
136852,"['lat=42.833833', 'lng=-88.729575']"
